830 18.48
840 17.52
910 19.2
2360 17.52001
2730 18.32
2030 15.43999
122 12.19999
187 17
3650 15.55999
3600 19.87999
1410 17.52
123 20.96002
2140 17.59999
820 20.2
5000 18.08
5800 21.72
2780 20.08001
860 18.32
1190 17.36
5750 11.28
2800 18.4
3620 14.75999
2200 17.6
2100 14.63999
3630 15.63999
1180 15.99999
3320 15.99999
3340 20.44
3310 18.72
267 19.8
2580 21.64001
2410 18.6
2910 20.68
930 18.56
1930 18.64
1100 17.48
1820 18.92
2240 17.4
2210 20
2220 19.36
2340 19.04
2300 0
505 18.96001
1150 20.12
581 18.39999
1140 16.68
2320 19.64
2150 16.75999
3610 18.83999
920 20.88002
2520 18.19999
2510 16.07999
2400 19.96
2750 18.56
810 18.24
124 22.00001
2760 20.28001
3200 18.16
726 16.64
120 19.4
2380 18.68001
248 24.08001
3000 16.88
121 21.72001
3130 19.08001
3120 17.88
2060 15.19999
2070 14.91999
2080 14.87999
3400 21.16
800 18.4
700 19.56
950 19.32
1130 19.28
2540 19.16
2550 16.68
